key,en,fr,de,jp,cn,es,ko,pt,ru,it
Play,Play,Jouer,Spiel,プレイ,开始,Jugar,게임 시작,Jogar,Играть,Gioca
Options,Options,Options,Optionen,オプション,选项,Opciones,옵션,Opções,Настройки,Opzioni
Exit,Exit,Quitter,Beenden,退出,退出,Salir,종료,Sair,Выход,Esci
Master,Overall,Global,Gesamt,全体,整体音量,Total,전체,Geral,Всего,Totale
Music,Music,Musique,Musik,音楽,音乐音量,Música,음악,Música,Музыка,Musica
SFX,SFX,Effets sonores,Soundeffekte,効果音,音效音量,Efectos de sonido,음향 효과,SFX,Звуковые эффекты,Effetti sonori
Mute,Mute,Muet,Stumm,ミュート,静音设置,Silenciar,음소거,Silenciar,Выключить звук,Disattiva
Fullscreen,Fullscreen,Plein écran,Vollbild,全画面,全屏设置,Pantalla completa,전체 화면,Tela cheia,На весь экран,Schermo intero
Credits,Credits,Crédits,Credits,クレジット,制作人员,Créditos,크레딧,Créditos,Создать,Crediti
Back,Back,Retour,Zurück,戻る,返回,Atrás,뒤로,Voltar,Назад,Indietro
Reset,Reset,Réinitialiser,Zurücksetzen,リセット,重置,Reiniciar,재설정,Reiniciar,Сбросить,Ripristina
Pause,Pause,Pause,Pause,一時停止,暂停,Pausar,일시 정지,Pausar,Пауза,Pausa
Resume,Resume,Reprendre,Fortsetzen,再開,继续,Reanudar,재개,Retomar,Продолжить,Riprendi
Level Select,Level Select,Sélectionner le niveau,Levelauswahl,レベル選択,关卡选择,Seleccionar nivel,레벨 선택,Selecionar nível,Выбор уровня,Seleziona livello
Main Menu,Main Menu,Menu principal,Hauptmenü,メインメニュー,主菜单,Menú principal,메인 메뉴,Menu principal,Главное меню,Menu principale
Solved,Solved,Victoire,Sieg,勝利,完成,Resuelto,해결됨,Resolvido,Решено,Risolto
Perfect,Perfect,Parfait,Perfekt,完璧,完美,Perfecto,완벽,Perfeito,Совершенно,Perfetto
Infinite Mode,Infinite Mode,Mode Infini,Unendlicher Modus,無限モード,无限模式,Modo Infinito,무한 모드,Modo Infinito,Бесконечный режим,Modalità Infinita
Generate,Generate,Générer,Erzeugen,生成,生成,Generar,생성,Gerar,Сгенерировать,Genera
Board Size,Board Size,Taille du plateau,Brettgröße,ボードサイズ,棋盘大小,Tamaño del tablero,보드 크기,Tamanho do tabuleiro,Размер доски,Dimensione della scheda
